Tipo;Valor;Linha;Coluna
DEF_CLASS;dungeon;1;1
ID;pessoa;1;2
AP;(;1;3
FP;);1;4
AC;{;1;5
BOOLEAN;Knight;2;1
ID;p1;2;2
OPIGUAL;=;2;3
VL_TRUE;true;2;4
PV;";";2;5
INTEGER;Paladin;3;1
ID;p2;3;2
OPIGUAL;=;3;3
AP;(;3;4
NUM_INT;3;3;5
OPSOMA;+;3;6
NUM_INT;4;3;7
OPDIV;/;3;8
NUM_INT;5;3;9
OPMUL;*;3;10
NUM_INT;8;3;11
FP;);3;12
PV;";";3;13
DOUBLE;Druid;4;1
ID;p3;4;2
OPIGUAL;=;4;3
NUM_REAL;10.11;4;4
PV;";";4;5
ID;Sorcer;5;1
ID;p4;5;2
OPIGUAL;=;5;3
TXTSTRING;"false";5;4
PV;";";5;5
DEF_FUNCTION;mission;7;1
ID;mostra;7;2
AP;(;7;3
FP;);7;4
AC;{;7;5
FUN_PRINT;invocation;8;1
AP;(;8;2
TXTSTRING;"Hello world!";8;3
FP;);8;4
PV;";";8;5
FC;};9;1
DEF_FUNCTION;mission;11;1
ID;corre;11;2
AP;(;11;3
BOOLEAN;Knight;11;4
ID;num;11;5
FP;);11;6
ERROR;ERROR: value >>> %  <<< Line: 11 Colunm: 7
